year,day,cumulative_days,male_deer_population,female_deer_population,total_deer_population,number_of_hunters,harvested_deer,number_of_deer_hit
2,155.08684863523573,887.0967741935483,262000,225000,487000,0,0,2000
2,157.15467328370553,889.1645988420181,262000,225000,487000,0,0,2000
2,159.22249793217534,891.2324234904879,262000,225000,487000,0,0,2000
2,161.29032258064515,893.3002481389577,262000,225000,487000,0,0,2000
2,163.35814722911496,895.3680727874275,262000,225000,487000,0,0,2000
2,165.42597187758477,897.4358974358973,262000,225000,487000,0,0,2000
2,167.49379652605458,899.5037220843672,262000,225000,487000,0,0,2000
2,169.5616211745244,901.571546732837,262000,225000,487000,0,0,2000
2,171.6294458229942,903.6393713813068,262000,225000,487000,0,0,2000
2,173.697270471464,905.7071960297766,262000,225000,487000,0,0,2000
2,175.76509511993382,907.7750206782464,263000,227000,490000,0,0,2000
2,177.83291976840363,909.8428453267162,267000,230000,497000,0,0,2000
2,179.90074441687344,911.910669975186,269000,231000,500000,0,0,2000
2,181.96856906534325,913.9784946236558,271000,236000,507000,0,0,2000
2,184.03639371381306,916.0463192721256,271000,237000,508000,0,0,2000
2,186.10421836228286,918.1141439205954,271000,237000,508000,0,0,2000
2,188.17204301075267,920.1819685690652,273000,238000,511000,0,0,2000
2,190.23986765922248,922.2497932175351,276000,238000,514000,0,0,2000
2,192.3076923076923,924.3176178660049,277000,241000,518000,0,0,2000
2,194.3755169561621,926.3854425144747,278000,242000,520000,0,0,2000
2,196.4433416046319,928.4532671629445,278000,243000,521000,0,0,2000
2,198.51116625310172,930.5210918114143,280000,246000,526000,0,0,2000
2,200.57899090157153,932.5889164598841,280000,247000,527000,0,0,2000
2,202.64681555004134,934.6567411083539,281000,248000,529000,0,0,2000
2,204.71464019851115,936.7245657568237,282000,251000,533000,0,0,2000
2,206.78246484698096,938.7923904052935,283000,251000,534000,0,0,2000
2,208.85028949545077,940.8602150537633,286000,255000,541000,0,0,2000
2,210.91811414392058,942.9280397022331,287000,256000,543000,0,0,2000
2,212.98593879239039,944.995864350703,288000,256000,544000,0,0,2000
2,215.0537634408602,947.0636889991728,288000,256000,544000,0,0,2000
2,217.12158808933,949.1315136476426,290000,257000,547000,0,0,2000
2,219.1894127377998,951.1993382961124,291000,258000,549000,0,0,2000
2,221.25723738626962,953.2671629445822,292000,258000,550000,0,0,2000
2,223.32506203473943,955.334987593052,292000,258000,550000,0,0,2000
2,225.39288668320924,957.4028122415218,294000,262000,556000,0,0,2000
2,227.46071133167905,959.4706368899916,296000,266000,562000,0,0,2000
2,229.52853598014886,961.5384615384614,296000,268000,564000,0,0,3000
2,231.59636062861867,963.6062861869312,297000,269000,566000,0,0,3000
